 txt, src_id, type_id, weight, tgt_id, value_id, desc, source parent_id, source type_id, source origin_nm, source name, source id, source path type_id, source path id, source path nm, target parent_id, target type_id, target origin_nm, target name, target id, target path type_id, target path id, target path nm
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919641,11,0.95,12919639,12919639,,12919639,151,qlik_test1,salary,12919641,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919637,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,ENAME,12919637,1702,12919651,employee_details.qvw,,,,,,,,
,12919637,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,ENAME,12919637,1701,12919656,QVSERVER,,,,,,,,
,12919637,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,ENAME,12919637,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919637,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,ENAME,12919637,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919637,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,ENAME,12919637,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919644,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,EMPNO,12919644,1702,12919651,employee_details.qvw,,,,,,,,
,12919644,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,EMPNO,12919644,1701,12919656,QVSERVER,,,,,,,,
,12919644,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,EMPNO,12919644,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919644,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,EMPNO,12919644,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919644,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,EMPNO,12919644,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919647,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,HIREDATE,12919647,1702,12919651,employee_details.qvw,,,,,,,,
,12919647,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,HIREDATE,12919647,1701,12919656,QVSERVER,,,,,,,,
,12919647,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919647,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919647,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,HIREDATE,12919647,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919648,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,MGR,12919648,1702,12919651,employee_details.qvw,,,,,,,,
,12919648,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,MGR,12919648,1701,12919656,QVSERVER,,,,,,,,
,12919648,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,MGR,12919648,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919648,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,MGR,12919648,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919648,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,MGR,12919648,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919653,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,DEPTNO,12919653,1702,12919651,employee_details.qvw,,,,,,,,
,12919653,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,DEPTNO,12919653,1701,12919656,QVSERVER,,,,,,,,
,12919653,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919651,1710,qlik_test1,salary,12919639,1702,12919651,employee_details.qvw
,12919653,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919651,1710,qlik_test1,salary,12919639,1701,12919656,QVSERVER
,12919653,11,0.95,12919639,12919656,"0,12919641",12919651,1707,qlik_test1,DEPTNO,12919653,,,,12919651,1710,qlik_test1,salary,12919639,,,
,12919663,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,JOB,12919663,1702,12919651,employee_details.qvw,,,,,,,,
,12919663,11,0.95,12919639,12919656,,12919651,1707,qlik_test1,JOB,12919663,1701,12919656,QVSERVER,,,,,,,,
